,filename,year,month,day,hour,minute,second,persons,cars,buss,trucks,bicycles
85,loc01-2022_11_12_08_34_13.jpg,2022,11,12,8,34,13,2,4,0,3,0
86,loc01-2022_11_12_08_34_44.jpg,2022,11,12,8,34,44,7,2,0,4,0
87,loc01-2022_11_12_08_35_15.jpg,2022,11,12,8,35,15,11,1,2,5,0
88,loc01-2022_11_12_08_35_46.jpg,2022,11,12,8,35,46,3,2,0,4,0
89,loc01-2022_11_12_08_36_17.jpg,2022,11,12,8,36,17,6,6,0,3,0
90,loc01-2022_11_12_08_36_47.jpg,2022,11,12,8,36,47,8,3,0,3,0
91,loc01-2022_11_12_08_37_18.jpg,2022,11,12,8,37,18,9,0,0,4,2
92,loc01-2022_11_12_08_37_49.jpg,2022,11,12,8,37,49,9,5,2,1,2
93,loc01-2022_11_12_08_38_20.jpg,2022,11,12,8,38,20,7,3,0,2,2
94,loc01-2022_11_12_08_38_51.jpg,2022,11,12,8,38,51,12,2,0,1,0
95,loc01-2022_11_12_08_39_22.jpg,2022,11,12,8,39,22,14,2,0,1,0
96,loc01-2022_11_12_08_39_53.jpg,2022,11,12,8,39,53,10,1,0,2,1
97,loc01-2022_11_12_08_40_24.jpg,2022,11,12,8,40,24,8,0,0,3,1
98,loc01-2022_11_12_08_40_55.jpg,2022,11,12,8,40,55,12,3,0,3,0
99,loc01-2022_11_12_08_41_26.jpg,2022,11,12,8,41,26,16,1,0,2,0
100,loc01-2022_11_12_08_41_57.jpg,2022,11,12,8,41,57,11,6,0,1,0
101,loc01-2022_11_12_08_42_27.jpg,2022,11,12,8,42,27,0,1,0,1,0
102,loc01-2022_11_12_08_42_58.jpg,2022,11,12,8,42,58,15,0,0,1,0
103,loc01-2022_11_12_08_43_29.jpg,2022,11,12,8,43,29,11,3,0,4,1
104,loc01-2022_11_12_08_44_00.jpg,2022,11,12,8,44,0,12,1,0,3,0
105,loc01-2022_11_12_08_44_31.jpg,2022,11,12,8,44,31,22,1,0,4,0
106,loc01-2022_11_12_08_45_02.jpg,2022,11,12,8,45,2,12,3,0,3,0
107,loc01-2022_11_12_08_45_33.jpg,2022,11,12,8,45,33,10,2,0,2,0
108,loc01-2022_11_12_08_46_04.jpg,2022,11,12,8,46,4,13,5,0,3,1
109,loc01-2022_11_12_08_46_35.jpg,2022,11,12,8,46,35,8,1,4,1,0
110,loc01-2022_11_12_08_47_06.jpg,2022,11,12,8,47,6,7,4,0,5,0
111,loc01-2022_11_12_08_47_37.jpg,2022,11,12,8,47,37,7,3,0,2,0
112,loc01-2022_11_12_08_48_08.jpg,2022,11,12,8,48,8,18,6,0,2,0
113,loc01-2022_11_12_08_48_38.jpg,2022,11,12,8,48,38,0,3,0,6,0
114,loc01-2022_11_12_08_49_09.jpg,2022,11,12,8,49,9,12,4,0,2,0
115,loc01-2022_11_12_08_49_40.jpg,2022,11,12,8,49,40,14,5,2,1,1
116,loc01-2022_11_12_08_50_11.jpg,2022,11,12,8,50,11,10,0,0,5,0
117,loc01-2022_11_12_08_50_42.jpg,2022,11,12,8,50,42,7,2,0,4,0
118,loc01-2022_11_12_08_51_13.jpg,2022,11,12,8,51,13,13,5,0,4,0
119,loc01-2022_11_12_08_51_44.jpg,2022,11,12,8,51,44,6,1,0,3,0
120,loc01-2022_11_12_08_52_15.jpg,2022,11,12,8,52,15,15,1,0,4,0
121,loc01-2022_11_12_08_52_46.jpg,2022,11,12,8,52,46,5,3,0,6,0
122,loc01-2022_11_12_08_53_17.jpg,2022,11,12,8,53,17,4,1,0,4,0
123,loc01-2022_11_12_08_53_48.jpg,2022,11,12,8,53,48,4,2,0,4,0
124,loc01-2022_11_12_08_54_19.jpg,2022,11,12,8,54,19,15,4,3,3,0
125,loc01-2022_11_12_08_54_50.jpg,2022,11,12,8,54,50,10,3,0,3,0
126,loc01-2022_11_12_08_55_21.jpg,2022,11,12,8,55,21,17,3,0,4,0
127,loc01-2022_11_12_08_55_52.jpg,2022,11,12,8,55,52,14,5,0,5,0
128,loc01-2022_11_12_08_56_23.jpg,2022,11,12,8,56,23,5,1,0,3,0
129,loc01-2022_11_12_08_56_54.jpg,2022,11,12,8,56,54,3,2,0,3,0
130,loc01-2022_11_12_08_57_24.jpg,2022,11,12,8,57,24,10,2,0,4,1
131,loc01-2022_11_12_08_57_55.jpg,2022,11,12,8,57,55,10,3,0,2,0
132,loc01-2022_11_12_08_58_26.jpg,2022,11,12,8,58,26,4,1,0,2,0
133,loc01-2022_11_12_08_58_57.jpg,2022,11,12,8,58,57,2,2,0,4,0
134,loc01-2022_11_12_08_59_28.jpg,2022,11,12,8,59,28,13,2,0,2,0
135,loc01-2022_11_12_08_59_59.jpg,2022,11,12,8,59,59,0,6,0,4,0
136,loc01-2022_11_12_09_00_30.jpg,2022,11,12,9,0,30,6,3,0,0,0
137,loc01-2022_11_12_09_01_01.jpg,2022,11,12,9,1,1,13,1,0,3,0
138,loc01-2022_11_12_09_01_32.jpg,2022,11,12,9,1,32,8,2,0,3,0
139,loc01-2022_11_12_09_02_03.jpg,2022,11,12,9,2,3,12,2,0,4,0
140,loc01-2022_11_12_09_02_34.jpg,2022,11,12,9,2,34,10,5,0,3,0
141,loc01-2022_11_12_09_03_05.jpg,2022,11,12,9,3,5,4,8,0,4,0
142,loc01-2022_11_12_09_03_36.jpg,2022,11,12,9,3,36,14,1,0,4,3
143,loc01-2022_11_12_09_04_06.jpg,2022,11,12,9,4,6,8,1,0,3,0
144,loc01-2022_11_12_09_04_37.jpg,2022,11,12,9,4,37,12,2,0,3,0
145,loc01-2022_11_12_09_05_08.jpg,2022,11,12,9,5,8,13,4,0,2,0
146,loc01-2022_11_12_09_05_39.jpg,2022,11,12,9,5,39,24,2,0,2,0
147,loc01-2022_11_12_09_06_10.jpg,2022,11,12,9,6,10,5,1,0,1,0
148,loc01-2022_11_12_09_06_41.jpg,2022,11,12,9,6,41,3,8,2,4,0
149,loc01-2022_11_12_09_07_12.jpg,2022,11,12,9,7,12,12,7,0,3,0
150,loc01-2022_11_12_09_07_43.jpg,2022,11,12,9,7,43,10,4,0,3,0
151,loc01-2022_11_12_09_08_14.jpg,2022,11,12,9,8,14,9,7,0,3,1
152,loc01-2022_11_12_09_08_45.jpg,2022,11,12,9,8,45,13,3,0,5,0
153,loc01-2022_11_12_09_09_16.jpg,2022,11,12,9,9,16,7,2,0,5,0
154,loc01-2022_11_12_09_09_46.jpg,2022,11,12,9,9,46,20,3,0,4,0
155,loc01-2022_11_12_09_10_17.jpg,2022,11,12,9,10,17,10,2,0,1,2
156,loc01-2022_11_12_09_10_48.jpg,2022,11,12,9,10,48,11,2,0,4,0
157,loc01-2022_11_12_09_11_19.jpg,2022,11,12,9,11,19,7,4,0,5,0
158,loc01-2022_11_12_09_11_50.jpg,2022,11,12,9,11,50,11,2,0,3,0
159,loc01-2022_11_12_09_12_21.jpg,2022,11,12,9,12,21,6,2,0,4,0
160,loc01-2022_11_12_09_12_52.jpg,2022,11,12,9,12,52,10,4,0,2,0
161,loc01-2022_11_12_09_13_23.jpg,2022,11,12,9,13,23,5,7,0,5,0
162,loc01-2022_11_12_09_13_54.jpg,2022,11,12,9,13,54,7,7,0,2,0
163,loc01-2022_11_12_09_14_25.jpg,2022,11,12,9,14,25,4,1,0,3,0
164,loc01-2022_11_12_09_14_56.jpg,2022,11,12,9,14,56,13,4,0,3,0
165,loc01-2022_11_12_09_15_26.jpg,2022,11,12,9,15,26,4,4,0,4,0
166,loc01-2022_11_12_09_15_57.jpg,2022,11,12,9,15,57,12,5,0,3,0
